,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
25,B00008RW9U,"[3, 10]",2,"['buy', 'product', 'again', 'again', 'stick', 'detaling', 'microfiber', 'towels', 'vikingcobra']","07 21, 2009",A3LYC4BXRDE5RZ,Chi Car Guy,Does what it is supposed to,1248134400
97,B0000AXPDU,"[0, 0]",2,"['bought', 'spare', 'tire', 'utility', 'trailer', 'very', 'inexpensive', 'cheap', 'flimsy', 'loose', 'fitting', 'seems', 'broken', 'easily', 'probably', 'end', 'up', 'getting', 'cable', 'lock', 'device', 'doesnt', 'really', 'give', 'sense', 'security', 'suppose', 'five', 'bucks', 'pay']","05 30, 2013",A3FP9141P7DHT6,Amazon Customer,You get what you pay for.,1369872000
129,B0000AXRH5,"[4, 7]",1,"['size', 'measurements', 'provided', 'bit', 'disingenuous', 'funnel', '10', 'long', 'section', 'comprises', 'tubular', 'section', '6', 'long', 'states', 'funnel', '4', 'x', '4', 'reality', 'opening', 'funnel', '214', 'diameter', 'widest', 'pointit', 'work', 'put', 'quart', 'container', 'liquid', 'something', 'larger', 'container', 'going', 'worthless']","12 6, 2011",A204K1OFE8OB9Y,Winter,too small and too short to add any benefit,1323129600
146,B0000AXY62,"[0, 0]",2,"['using', 'curt', 'receiver', 'length', 'perfect', 'appears', 'high', 'quality', 'construction', 'bit', 'weight', 'design', 'prevents', 'rattling', 'bumpy', 'roads', 'complaint', 'gets', 'rust', 'buildup', 'inside', 'lock', 'mechanism', 'few', 'months', 'need', 'clean', 'periodicallyupdatea', 'great', 'deal', 'dirt', 'found', 'way', 'lock', 'mechanism', 'guess', 'fit', 'secure', 'now', 'rusting', 'find', 'bit', 'odd', 'stainless', 'construction', 'see', 'head', 'design', 'changed', 'based', 'new', 'picture', 'here', 'maybe', 'issue', 'fixed', 'now']","04 30, 2010",A1HI4VM5Q4LUET,Bongo,Didn't hold up very well.,1272585600
195,B0000AY60S,"[14, 16]",2,"['car', 'rv', 'detail', 'guy', 'car', 'rv', 'shining', 'new', 'time', 'thought', 'found', 'best', 'shine', 'wax', 'protection', 'using', 'rv', 'wax', 'called', 'protectall', 'uv', 'inhibitors', 'prior', 'trying', 'flagship', 'wax', 'used', 'years', 'job', 'nothing', 'market', 'thought', 'going', 'top', 'fiberglass', 'use', 'mcguires', 'fiberglass', 'restorer', 'amazing', 'removal', 'oxidation', 'older', 'rv', 'restored', 'back', 'new', 'knew', 'good', 'tried', 'iti', 'added', 'revised', 'review', 'end', 'original', 'review', 'pagewell', 'applying', 'flagship', 'wax', 'already', 'clean', 'shiny', 'rv', 'took', 'shine', 'whole', 'higher', 'level', '1st', 'go', 'easy', 'once', 'stays', 'kind', 'moist', 'drys', 'soft', 'comes', 'nice', 'follow', '2nd', 'dry', 'cloth', 'make', 'sure', 'completly', 'shiny', 'come', 'easy', 'clean', 'finish', 'up', 'leaving', 'nice', 'shiny', 'glazed', 'surface', 'need', 'change', 'up', 'rags', 'cakes', 'smears', 'donti', 'read', 'reviews', 'amazon', 'enticed', 'give', 'try', 'one', 'dont', 'dry', 'longer', '3', 'min', 'bottle', 'claims', 'same', 'very', 'true', 'pleased', 'resultsthe', 'biggest', 'improvment', 'nice', 'gold', 'painted', 'bottom', 'motorhome', 'paint', 'looked', 'good', 'before', 'now', 'paint', 'looks', 'glazed', 'shiny', 'rich', 'never', 'high', 'shine', 'before', 'cling', 'plastic', 'windows', 'rubber', 'everything', 'touches', 'comes', 'leaving', 'high', 'shine', 'used', 'everythingnow', 'revised', 'review', 'august', '2013', 'using', 'liking', '1st', 'found', 'continue', 'bead', 'water', 'streaks', 'seem', 'stick', 'stay', 'waxed', 'surface', 'fiberglass', 'even', 'washing', 'wont', 'remove', 'easy', 'went', 'back', 'using', 'protectall', 'rv', 'shines', 'well', 'water', 'streaks', 'minimal', 'rain', 'wash', 'easieri', 'find', 'protectall', 'brand', 'wax', 'last', 'long', 'come', 'cleaner', 'applying', 'wax', 'leaving', 'cleaner', 'shinemaking', 'far', 'easier', 'big', 'rv', 'less', 'time', 'flagship', 'wax', 'found', 'flagship', 'caky', 'thick', 'harder', 'remove', 'having', 'constantly', 'fresh', 'rags', 'make', 'easy', 'offso', 'tried', 'liked', 'first', 'week', 'later', 'found', 'flagship', 'good', 'used', 'years', 'protectall', 'brand', 'love', 'mcguires', 'products', 'times']","05 30, 2013",A1P3RTQKM8BRBL,Ed D,This wax takes detailing to a higher level AT 1ST but quickly fades in time,1369872000
213,B0000AY9W6,"[0, 0]",2,"['used', 'though', 'hollow', 'plastic', 'felt', 'designed', 'hold', 'camper', 'rolling', 'one', 'day', 'forgot', 'remove', 'pulling', 'out', 'seems', 'take', 'very', 'little', 'pressure', 'moving', 'forward', 'flatten', 'pan', 'cake', 'though', '50000', 'investment', 'better', 'served', 'heavy', 'duty', 'galvanized', 'wheel', 'chock', 'wont', 'give', 'even', 'move', 'over', 'mistake', 'know', 'holding', 'solid', 'again', 'roll', 'forward', 'over']","03 31, 2014",A1P3RTQKM8BRBL,Ed D,It went flat as a pan cake.,1396224000
229,B0000AY9W6,"[0, 0]",2,"['fair', 'very', 'durable', 'fully', 'secure', 'trailer', 'spend', 'extra', 'xblock', 'fastaway', 'now', 'use', 'both', 'fastway', 'intiial', 'set', 'x', 'block', 'final', 'lock']","07 29, 2013",AUZINV544Y1ZC,RDR,Chock Blocks,1375056000
245,B0000AZ9KS,"[0, 0]",2,"['34feet34', 'bar', 'slides', 'truck', 'bed', 'sides', 'makes', 'worthlesswhen', 'ratchet', 'extended', 'mechanism', 'ends', 'up', 'out', 'arms', 'reach', 'standing', 'outside', 'truck']","06 8, 2014",A2FKXF5PIY4XNT,Dale L. Clark,bad design,1402185600
283,B0001L0DFA,"[5, 5]",2,"['bit', 'down', 'here', 'reviews', 'thought', 'maybe', 'search', 'perfect', 'nozzle', 'come', 'end', 'didnt', 'sequencing', 'spray', 'patterns', 'nozzle', 'used', 'sure', 'unique', 'ability', 'produce', 'fine', 'spray', 'fire', 'hose', 'kind', 'effect', 'switching', 'between', 'patterns', 'passes', 'mostly', 'through', 'various', 'streams', 'concentrated', 'water', 'dench', 'anything', 'way', 'trying', 'splatter', 'mud', 'create', 'craters', 'wash', 'away', 'feshly', 'planted', 'seeds', 'nozzle', 'maybe', 'makes', 'more', 'sense', 'cars']","09 16, 2010",A1LAGS8H4A2DR7,Bill Nicholas,Ok if you like to drench,1284595200
308,B0001L0DFA,"[0, 0]",2,"['better', 'going', 'local', 'department', 'store', 'buying', 'craftsman', 'brand', 'nozzle', 'instead', 'identical', 'one', 'except', 'green', 'part', 'silver', 'comes', 'lifetime', 'replacement', 'guarantee', 'unlike', 'bonaire', 'one', 'same', 'pricethat', 'prefer', 'trigger', 'type', 'nozzle', 'turn', 'rotate', 'several', 'revolutions', 'doesnt', 'remember', 'spray', 'setting', 'type', 'nozzle', 'good', 'youre', 'holding', 'long', 'period', 'time', 'watering', 'garden', 'something', 'washing', 'car', 'turn', 'water', 'periodically', 'doesnt', 'work', 'well', 'trigger', 'type', 'hose', 'nozzle']","11 1, 2013",A1F9Z42CFF9IAY,T. Tom,"Buy a Craftsman instead, it's the same with better warranty",1383264000
312,B00020CATC,"[5, 8]",2,"['looking', 'products', 'simply', 'calculate', 'actual', 'cost', 'per', 'square', 'foot', 'example', 'thisspeaker', 'kit', 'contains', '138', 'square', 'feet', 'around', '22', 'bucksprice', 'fluxuates', 'stock', 'somethingcan', 'u', 'think', 'anything', 'thats', 'worth', '15', 'dollars', 'square', 'foot', 'many', 'cheaper', 'alternatives', 'dynamat', 'awsome', 'product', 'work', 'those', 'made', 'money', 'search', 'butyl', 'flashing', 'tape', 'u', 'glad', 'u']","08 21, 2011",A15YJ2DV1S9ZP2,jdep,APPLY COMMON SENSE,1313884800
324,B00020CAUG,"[0, 2]",1,"['returned', 'much', 'work', 'install', 'find', 'hard', 'believe', 'make', 'much', 'difference']","05 16, 2014",A1EMY19Z7WUDGC,Sandan,Not for Me,1400198400
