,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
25,B00008RW9U,"[3, 10]",2,"['buy', 'product', 'again', 'again', 'stick', 'detal', 'microfib', 'towel', 'vikingcobra']","07 21, 2009",A3LYC4BXRDE5RZ,Chi Car Guy,Does what it is supposed to,1248134400
97,B0000AXPDU,"[0, 0]",2,"['bought', 'spare', 'tire', 'util', 'trailer', 'veri', 'inexpens', 'cheap', 'flimsi', 'loos', 'fit', 'seem', 'broken', 'easili', 'probabl', 'end', 'up', 'get', 'cabl', 'lock', 'devic', 'doesnt', 'realli', 'give', 'sens', 'secur', 'suppos', 'five', 'buck', 'pay']","05 30, 2013",A3FP9141P7DHT6,Amazon Customer,You get what you pay for.,1369872000
129,B0000AXRH5,"[4, 7]",1,"['size', 'measur', 'provid', 'bit', 'disingenu', 'funnel', '10', 'long', 'section', 'compris', 'tubular', 'section', '6', 'long', 'state', 'funnel', '4', 'x', '4', 'realiti', 'open', 'funnel', '214', 'diamet', 'widest', 'pointit', 'work', 'put', 'quart', 'contain', 'liquid', 'someth', 'larger', 'contain', 'go', 'worthless']","12 6, 2011",A204K1OFE8OB9Y,Winter,too small and too short to add any benefit,1323129600
146,B0000AXY62,"[0, 0]",2,"['use', 'curt', 'receiv', 'length', 'perfect', 'appear', 'high', 'qualiti', 'construct', 'bit', 'weight', 'design', 'prevent', 'rattl', 'bumpi', 'road', 'complaint', 'get', 'rust', 'buildup', 'insid', 'lock', 'mechan', 'few', 'month', 'need', 'clean', 'periodicallyupdatea', 'great', 'deal', 'dirt', 'found', 'way', 'lock', 'mechan', 'guess', 'fit', 'secur', 'now', 'rust', 'find', 'bit', 'odd', 'stainless', 'construct', 'see', 'head', 'design', 'chang', 'base', 'new', 'pictur', 'here', 'mayb', 'issu', 'fix', 'now']","04 30, 2010",A1HI4VM5Q4LUET,Bongo,Didn't hold up very well.,1272585600
195,B0000AY60S,"[14, 16]",2,"['car', 'rv', 'detail', 'guy', 'car', 'rv', 'shine', 'new', 'time', 'thought', 'found', 'best', 'shine', 'wax', 'protect', 'use', 'rv', 'wax', 'call', 'protectal', 'uv', 'inhibitor', 'prior', 'tri', 'flagship', 'wax', 'use', 'year', 'job', 'noth', 'market', 'thought', 'go', 'top', 'fiberglass', 'use', 'mcguir', 'fiberglass', 'restor', 'amaz', 'remov', 'oxid', 'older', 'rv', 'restor', 'back', 'new', 'knew', 'good', 'tri', 'iti', 'ad', 'revis', 'review', 'end', 'origin', 'review', 'pagewel', 'appli', 'flagship', 'wax', 'alreadi', 'clean', 'shini', 'rv', 'took', 'shine', 'whole', 'higher', 'level', '1st', 'go', 'easi', 'onc', 'stay', 'kind', 'moist', 'drys', 'soft', 'come', 'nice', 'follow', '2nd', 'dri', 'cloth', 'make', 'sure', 'complet', 'shini', 'come', 'easi', 'clean', 'finish', 'up', 'leav', 'nice', 'shini', 'glaze', 'surfac', 'need', 'chang', 'up', 'rag', 'cake', 'smear', 'donti', 'read', 'review', 'amazon', 'entic', 'give', 'tri', 'one', 'dont', 'dri', 'longer', '3', 'min', 'bottl', 'claim', 'same', 'veri', 'true', 'pleas', 'resultsth', 'biggest', 'improv', 'nice', 'gold', 'paint', 'bottom', 'motorhom', 'paint', 'look', 'good', 'befor', 'now', 'paint', 'look', 'glaze', 'shini', 'rich', 'never', 'high', 'shine', 'befor', 'cling', 'plastic', 'window', 'rubber', 'everyth', 'touch', 'come', 'leav', 'high', 'shine', 'use', 'everythingnow', 'revis', 'review', 'august', '2013', 'use', 'like', '1st', 'found', 'continu', 'bead', 'water', 'streak', 'seem', 'stick', 'stay', 'wax', 'surfac', 'fiberglass', 'even', 'wash', 'wont', 'remov', 'easi', 'went', 'back', 'use', 'protectal', 'rv', 'shine', 'well', 'water', 'streak', 'minim', 'rain', 'wash', 'easieri', 'find', 'protectal', 'brand', 'wax', 'last', 'long', 'come', 'cleaner', 'appli', 'wax', 'leav', 'cleaner', 'shinemak', 'far', 'easier', 'big', 'rv', 'less', 'time', 'flagship', 'wax', 'found', 'flagship', 'caki', 'thick', 'harder', 'remov', 'have', 'constant', 'fresh', 'rag', 'make', 'easi', 'offso', 'tri', 'like', 'first', 'week', 'later', 'found', 'flagship', 'good', 'use', 'year', 'protectal', 'brand', 'love', 'mcguir', 'product', 'time']","05 30, 2013",A1P3RTQKM8BRBL,Ed D,This wax takes detailing to a higher level AT 1ST but quickly fades in time,1369872000
213,B0000AY9W6,"[0, 0]",2,"['use', 'though', 'hollow', 'plastic', 'felt', 'design', 'hold', 'camper', 'roll', 'one', 'day', 'forgot', 'remov', 'pull', 'out', 'seem', 'take', 'veri', 'littl', 'pressur', 'move', 'forward', 'flatten', 'pan', 'cake', 'though', '50000', 'invest', 'better', 'serv', 'heavi', 'duti', 'galvan', 'wheel', 'chock', 'wont', 'give', 'even', 'move', 'over', 'mistak', 'know', 'hold', 'solid', 'again', 'roll', 'forward', 'over']","03 31, 2014",A1P3RTQKM8BRBL,Ed D,It went flat as a pan cake.,1396224000
229,B0000AY9W6,"[0, 0]",2,"['fair', 'veri', 'durabl', 'fulli', 'secur', 'trailer', 'spend', 'extra', 'xblock', 'fastaway', 'now', 'use', 'both', 'fastway', 'intiial', 'set', 'x', 'block', 'final', 'lock']","07 29, 2013",AUZINV544Y1ZC,RDR,Chock Blocks,1375056000
245,B0000AZ9KS,"[0, 0]",2,"['34feet34', 'bar', 'slide', 'truck', 'bed', 'side', 'make', 'worthlesswhen', 'ratchet', 'extend', 'mechan', 'end', 'up', 'out', 'arm', 'reach', 'stand', 'outsid', 'truck']","06 8, 2014",A2FKXF5PIY4XNT,Dale L. Clark,bad design,1402185600
283,B0001L0DFA,"[5, 5]",2,"['bit', 'down', 'here', 'review', 'thought', 'mayb', 'search', 'perfect', 'nozzl', 'come', 'end', 'didnt', 'sequenc', 'spray', 'pattern', 'nozzl', 'use', 'sure', 'uniqu', 'abil', 'produc', 'fine', 'spray', 'fire', 'hose', 'kind', 'effect', 'switch', 'between', 'pattern', 'pass', 'most', 'through', 'various', 'stream', 'concentr', 'water', 'dench', 'anyth', 'way', 'tri', 'splatter', 'mud', 'creat', 'crater', 'wash', 'away', 'fesh', 'plant', 'seed', 'nozzl', 'mayb', 'make', 'more', 'sens', 'car']","09 16, 2010",A1LAGS8H4A2DR7,Bill Nicholas,Ok if you like to drench,1284595200
308,B0001L0DFA,"[0, 0]",2,"['better', 'go', 'local', 'depart', 'store', 'buy', 'craftsman', 'brand', 'nozzl', 'instead', 'ident', 'one', 'except', 'green', 'part', 'silver', 'come', 'lifetim', 'replac', 'guarante', 'unlik', 'bonair', 'one', 'same', 'pricethat', 'prefer', 'trigger', 'type', 'nozzl', 'turn', 'rotat', 'sever', 'revolut', 'doesnt', 'rememb', 'spray', 'set', 'type', 'nozzl', 'good', 'your', 'hold', 'long', 'period', 'time', 'water', 'garden', 'someth', 'wash', 'car', 'turn', 'water', 'period', 'doesnt', 'work', 'well', 'trigger', 'type', 'hose', 'nozzl']","11 1, 2013",A1F9Z42CFF9IAY,T. Tom,"Buy a Craftsman instead, it's the same with better warranty",1383264000
